,location,date,job,rating,review_title,review_content
96," Saskatoon, SK ", 5 June 2020,Financial Advisor Trainee,2.0,Not applicable,"I did not get the required support from my Branch Coach during my training .Besides,some staff are treated fairly than others.i was passionate and eager to learn when I joined the organization but was not giving the much needed support by my supposed coach ."
97," Atlantic, NS ", 5 June 2020,"Regional Director, Investment Specialists",1.0,Don't be lured!,"Just do your research. Speak to someone doing the role.High pressure. Cheaper for them to terminate than to help someone succeed. They like to terminate within first 12 months to save costs.They need people who can hit the ground running on day 1"
98," Toronto, ON ", 3 June 2020,"RIGHT OF OFFSET OFFICER, JOB LEVEL 4",5.0,Productive and comfortable work environment,I find it very comfortable to work with Scotiabank. We work as a team but also have the opportunity to work independently. There is a lot of opportunities within the bank.
99," Mississauga, ON ", 2 June 2020,Accounting Officer,5.0,Productive and fun workplace.,It was a great team to work with. Setting up loans and preparing excel formulas for interest rate calculation was the best part. Fun huddle to discuss daily workload was very effective to know which team needs helping hands and help each other.
100," Cornwall, ON ", 2 June 2020,Retail Banking Officer,4.0,Very generous employer,"I loved working for Scotiabank. I worked at the customer contact centre level. Day-to-day tasks are always similar: you take calls, answer customer concerns, etc. They have great salary and benefits packages. I definetly recommend Scotiabank."
101," Halifax, NS ", 1 June 2020,Event Technician,3.0,Good crew of guys,"This job is good for young people, but not so if you have a family, school or both. The shifts can start at any time of day.  But if you like back shifts and have the potential to return back to work within eight hours, this is the job for you, and having a car will help when the buses are not running will make things easier."
102," Scarborough, ON ", 1 June 2020,Senior Java developer,5.0,Good place,"Good environment to work in. I liked the management and the way teams were structured. DF is a nice fun place to work at. A very relaxed but fast paced work culture."
103," Toronto, ON ", 31 May 2020,"Programmer Analyst Sr., Scotiabank",4.0,Na,"This company is good in general in terms of work environment, team.It is a big brand in in banking domain, so it adds good value to your profile in terms of experience."
104," Toronto, ON ", 26 May 2020,"Technical Project Manager/Scrum Master, Canadian Banking Technology",5.0,Wonderful Workplace and Culture,The Work culture at Scotiabank is amazing. They treat employees with respect. My manager is the BEST. Their workplace atmosphere is very impressive with all new technology
105," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
106," Toronto, ON ", 25 May 2020,Philanthropy and Marketing Intern,5.0,Loved my internship experience!,"The culture at Scotiabank is very collaborative, my manager had a lot of faith in me to take on projects and tasks even though I was only an intern. They value growth within individuals and I was definitely given many opportunities to learn and grow during my time at Scotiabank."
